"Absalom, Absalom!";"William Faulkner";"2 Samuel 19:4 "
"A che punto è la notte (literally, ""At which point is the night"")";"Carlo Fruttero and Franco Lucentini";"Isaiah 21:11 "
"After Many a Summer Dies the Swan";"Aldous Huxley";"Tithonus, Alfred, Lord Tennyson "
"Ah, Wilderness!";"Eugene O'Neill";"Rubaiyat of Omar Khayyam, trans. Edward FitzGerald "
"Alien Corn (play)";"Sidney Howard";"Ode to a Nightingale, John Keats "
"The Alien Corn (short story)";"W. Somerset Maugham";"Ode to a Nightingale, John Keats "
"All Passion Spent";"Vita Sackville-West";"Samson Agonistes, John Milton "
"All the King's Men";"Robert Penn Warren";"Humpty Dumpty "
"Alone on a Wide, Wide Sea";"Michael Morpurgo";"The Rime of the Ancient Mariner, Samuel Taylor Coleridge "
"An Acceptable Time";"Madeleine L'Engle";"Psalms 66:13 "
"Antic Hay";"Aldous Huxley";"Edward II, Christopher Marlowe "
"An Evil Cradling";"Brian Keenan";"Qur'an 13:18, Arthur John Arberry translation "
"Arms and the Man";"George Bernard Shaw";"The Aeneid, Virgil "
"As I Lay Dying";"William Faulkner";"The Odyssey, Homer "
"A Time to Kill";"John Grisham";"Ecclesiastes 3:3 "
"Behold the Man";"Michael Moorcock";"John 19:5 "
"Beneath the Bleeding";"Val McDermid";"East Coker, T. S. Eliot "
"Beyond the Mexique Bay";"Aldous Huxley";"Bermudas, Andrew Marvell "
"Blithe Spirit";"Noël Coward";"To a Skylark, Percy Bysshe Shelley "
"Blood's a Rover";"James Ellroy";"Reveille, A.E. Housman "
"Blue Remembered Earth";"Alastair Reynolds";"A Shropshire Lad, Poem XL, A.E. Housman "
"Blue Remembered Hills";"Rosemary Sutcliff";"A Shropshire Lad, Poem XL, A.E. Housman "
"Bonjour Tristesse";"Françoise Sagan";"À Peine Défigurée, Paul Éluard "
"Brandy of the Damned";"Colin Wilson";"Man and Superman, George Bernard Shaw "
"Bury My Heart at Wounded Knee";"Dee Brown";"American Names, Stephen Vincent Benét "
"Butter In a Lordly Dish";"Agatha Christie";"Judges 5:25 "
"By Grand Central Station I Sat Down and Wept";"Elizabeth Smart";"Psalms 137:1 "
"Cabbages and Kings";"O. Henry";"The Walrus and the Carpenter, Lewis Carroll "
"Carrion Comfort";"Dan Simmons";"Carrion Comfort, Gerard Manley Hopkins "
"A Catskill Eagle";"Robert B. Parker";"Moby-Dick, Herman Melville "
"The Children of Men";"P. D. James";"Psalm 90:3 "
"Clouds of Witness";"Dorothy L. Sayers";"Hebrews 12:1 "
"A Confederacy of Dunces";"John Kennedy Toole";"Thoughts on Various Subjects, Moral and Diverting, Jonathan Swift "
"Consider Phlebas";"Iain M. Banks";"The Waste Land, T. S. Eliot "
"Consider the Lilies";"Iain Crichton Smith";"Matthew 6:28 "
"Cover Her Face";"P. D. James";"The Duchess of Malfi, John Webster "
"The Cricket on the Hearth";"Charles Dickens";"Il Penseroso, John Milton "
"The Curious Incident of the Dog in the Night-Time";"Mark Haddon";"The Adventure of Silver Blaze, Arthur Conan Doyle "
"The Daffodil Sky";"H. E. Bates";"Maud, Alfred, Lord Tennyson "
"Dance Dance Dance";"Haruki Murakami";"Death's Echo, W.H. Auden "
"A Darkling Plain";"Philip Reeve";"Dover Beach, Matthew Arnold "
"Death Be Not Proud";"John Gunther";"Holy Sonnets X, John Donne "
"The Doors of Perception";"Aldous Huxley";"The Marriage of Heaven and Hell, William Blake "
"Down to a Sunless Sea";"David Graham";"Kubla Khan, Samuel Taylor Coleridge "
"Dulce et Decorum Est";"Wilfred Owen";"Odes iii 2.13, Horace "
"Dying of the Light";"George R. R. Martin";"Do Not Go Gentle into That Good Night, Dylan Thomas "
"East of Eden";"John Steinbeck";"Genesis 4:16 "
"Ego Dominus Tuus";"William Butler Yeats";"La Vita Nuova, Dante "
"Endless Night";"Agatha Christie";"Auguries of Innocence, William Blake "
"Everything is Illuminated";"Jonathan Safran Foer";"The Unbearable Lightness of Being, Milan Kundera "
"Eyeless in Gaza";"Aldous Huxley";"Samson Agonistes, John Milton "
"Fair Stood the Wind for France";"H. E. Bates";"Ballad of Agincourt, Michael Drayton "
"Fame Is the Spur";"Howard Spring";"Lycidas, John Milton "
"A Fanatic Heart";"Edna O'Brien";"Remorse for Intemperate Speech, William Butler Yeats "
"The Far-Distant Oxus";"Katharine Hull and Pamela Whitlock";"Sohrab and Rustum, Matthew Arnold "
"A Farewell to Arms";"Ernest Hemingway";"A Farewell to Arms (To Queen Elizabeth), George Peele "
"Far From the Madding Crowd";"Thomas Hardy";"Elegy Written in a Country Churchyard, Thomas Gray "
"Fear and Trembling";"Søren Kierkegaard";"Philippians 2:12 "
"For a Breath I Tarry";"Roger Zelazny";"A Shropshire Lad, A. E. Housman "
"For Whom the Bell Tolls";"Ernest Hemingway";"Meditation XVII, John Donne "
"Frequent Hearses";"Edmund Crispin";"Elegy to the Memory of an Unfortunate Lady, Alexander Pope "
"From Here to Eternity";"James Jones";"Gentlemen-Rankers, Rudyard Kipling "
"A Glass of Blessings";"Barbara Pym";"The Pulley, George Herbert "
"The Glory and the Dream";"William Manchester";"William Wordsworth, Ode: Intimations of Immortality "
"The Golden Apples of the Sun";"Ray Bradbury";"The Song of the Wandering Angus, W. B. Yeats "
"The Golden Bowl";"Henry James";"Ecclesiastes 12:6 "
"Gone with the Wind";"Margaret Mitchell";"Non sum qualis eram bonae sub regno Cynarae, Ernest Dowson "
"The Grapes of Wrath";"John Steinbeck";"The Battle Hymn of the Republic, Julia Ward Howe "
"Great Work of Time";"John Crowley";"Horatian Ode upon Cromwell's Return from Ireland, Andrew Marvell "
"The Green Bay Tree";"Louis Bromfield";"Psalms 37:35 "
"A Handful of Dust";"Evelyn Waugh";"The Waste Land, T. S. Eliot "
"Have His Carcase";"Dorothy L. Sayers";"The Iliad, Homer (William Cowper's translation) "
"The Heart Is a Lonely Hunter";"Carson McCullers";"The Lonely Hunter, William Sharp "
"The Heart Is Deceitful Above All Things";"JT LeRoy";"Jeremiah 17:9 "
"His Dark Materials";"Philip Pullman";"Paradise Lost, John Milton "
"The House of Mirth";"Edith Wharton";"Ecclesiastes 7:4 "
"How Sleep the Brave";"H. E. Bates";"How Sleep the Brave, William Collins "
